product_id,product_name,unit,first_sale,last_sale,active_sales_days,total_quantity,mean_positive_quantity,median_positive_quantity,max_positive_quantity,history_days,active_ratio,days_since_last_sale,segment
11860889,SAKATAT DANA BOBREK KG,KG,2024-06-17,2026-07-18,50,57.41,1.1481999999999999,0.8220000000000001,5.846,762,0.06561679790026247,3,sparse
11860890,SAKATAT KUZU DALAK KG,KG,2023-06-17,2023-06-18,2,0.99,0.495,0.495,0.73,2,1.0,1129,new_short_history
11891307,BANVIT P.SUCUK BATON 450 G,ADT,2023-03-19,2026-04-12,368,577.0,1.5679347826086956,1.0,11.0,1121,0.328278322925959,100,possibly_inactive
11895742,NAMET SUCUK DANA KANGAL FERMENTE KG,KG,2023-01-02,2026-03-05,511,1079.454,2.1124344422700587,0.768,50.442,1159,0.44089732528041414,138,possibly_inactive
11896072,$POLONEZ PASTIRMA CEMENSIZ ELIT 110 G,ADT,2023-01-17,2023-04-16,29,37.0,1.2758620689655173,1.0,4.0,90,0.32222222222222224,1192,possibly_inactive
11900652,LEZITA PIL.KEBAP ACILI 400 G,ADT,2023-01-04,2026-07-10,136,198.0,1.4558823529411764,1.0,5.0,1284,0.1059190031152648,11,intermittent
11900654,LEZITA PIL.DONER 200 G,ADT,2023-01-01,2026-07-20,874,2768.0,3.1670480549199085,3.0,18.0,1297,0.6738627602158828,1,continuous
11901143,OVUN DANA BOBREK 300 G MAP,ADT,2023-04-01,2025-03-07,170,300.0,1.7647058823529411,1.5,5.0,707,0.24045261669024046,501,possibly_inactive
11901145,OVUN KUZU CIGER 250 G MAP,ADT,2023-04-11,2026-03-17,302,691.0,2.2880794701986753,2.0,11.0,1072,0.28171641791044777,126,possibly_inactive
11901146,OVUN KUZU YUREK 250 G MAP,ADT,2023-04-05,2024-04-20,44,60.0,1.3636363636363635,1.0,4.0,382,0.11518324607329843,822,possibly_inactive
11901152,OVUN ET DANA ISKEMBE PIS. 200 G MAP,ADT,2023-01-01,2025-02-20,62,82.0,1.3225806451612903,1.0,3.0,782,0.0792838874680307,516,possibly_inactive
11901154,OVUN KELLE PACA PISMIS 200 G MAP,ADT,2023-01-01,2025-03-09,335,591.0,1.7641791044776118,1.0,7.0,799,0.4192740926157697,499,possibly_inactive
11918532,POLONEZ SUCUK DANA FERMENTE KG,KG,2023-01-01,2026-07-21,1281,4270.556,3.333767369242779,2.494,52.158,1298,0.9869029275808937,0,continuous
11960352,$ERSAN PASTIRMA DILIMLI SECME KG,KG,2023-01-18,2024-01-04,7,1.384,0.1977142857142857,0.22,0.35,352,0.019886363636363636,929,possibly_inactive
11998836,$ERSAN SUCUK EVLIK FERMENTE 400 G,ADT,2023-01-01,2025-06-13,184,919.0,4.994565217391305,2.0,28.0,895,0.20558659217877095,403,possibly_inactive
11998839,ERSAN PASTIRMA CEMENSIZ 130 G,ADT,2023-01-13,2024-06-15,12,14.0,1.1666666666666667,1.0,2.0,520,0.023076923076923078,766,possibly_inactive
12003423,ERSAN SALAM MACAR MINI 250 G,ADT,2023-01-13,2026-07-21,255,313.0,1.227450980392157,1.0,13.0,1286,0.19828926905132194,0,intermittent
12003427,$ERSAN KAVURMA KONSERVE 160 G,ADT,2023-01-11,2024-08-25,26,48.0,1.8461538461538463,1.0,5.0,593,0.04384485666104553,695,possibly_inactive
12032295,SAKATAT KUZU AYAK ADET,ADT,2024-01-13,2024-09-21,3,3.0,1.0,1.0,1.0,253,0.011857707509881422,668,possibly_inactive
12036036,SAKATAT KUZU KELLE ADET,ADT,2023-02-20,2025-02-07,3,3.0,1.0,1.0,1.0,719,0.004172461752433936,529,possibly_inactive
12037085,NAMET 7/24 JAMBON PILIC 50 G,ADT,2023-01-14,2026-05-03,242,398.0,1.6446280991735538,1.0,10.0,1206,0.20066334991708126,79,intermittent
12037086,MARET PRATIK SALAM DANA 50 G,ADT,2023-01-04,2026-07-21,305,656.0,2.1508196721311474,2.0,19.0,1295,0.23552123552123552,0,intermittent
12037088,$POLONEZ MINI SUCUK K.BIBERLI 50 G,ADT,2023-01-01,2023-01-21,12,17.0,1.4166666666666667,1.0,4.0,21,0.5714285714285714,1277,new_short_history
12047706,DANET SUCUK FERMENTE KANGAL 300 G,ADT,2023-02-18,2026-02-01,166,300.0,1.8072289156626506,1.0,11.0,1080,0.1537037037037037,170,possibly_inactive
12076686,$SIL ERSAN DONER PILIC 300 G PKT,ADT,2023-01-20,2023-01-20,1,1.0,1.0,1.0,1.0,1,1.0,1278,new_short_history
12084983,OVUN DANA AYAK ADT DNK,ADT,2024-03-12,2024-03-12,1,3.0,3.0,3.0,3.0,1,1.0,861,new_short_history
12087660,SAKATAT DANA DAMAR  ISKEMBE PISMIS KG,KG,2025-12-14,2025-12-15,2,0.998,0.499,0.499,0.512,2,1.0,218,new_short_history
12185593,$POLONEZ SOSIS DANA UZUN 360 G,ADT,2023-01-05,2023-04-02,26,33.0,1.2692307692307692,1.0,3.0,88,0.29545454545454547,1206,possibly_inactive
