date,temperature_mean_c,temperature_max_c,precipitation_mm,snowfall_cm,cloud_cover_pct,wind_max_kmh,solar_radiation_mj_m2
2019-10-09,17.0,22.6,0.0,0.0,10.0,8.5,15.83
2019-10-10,18.7,24.5,0.0,0.0,25.0,9.8,15.75
2019-10-11,19.3,23.8,0.0,0.0,35.0,11.4,12.24
2019-10-12,19.9,25.1,0.0,0.0,30.0,12.0,14.06
2019-10-13,19.0,25.5,0.0,0.0,7.0,9.2,15.31
2019-10-14,19.1,25.2,0.0,0.0,6.0,6.8,15.08
2019-10-15,19.4,24.8,0.0,0.0,36.0,6.6,14.18
2019-10-16,19.3,22.3,0.1,0.0,62.0,6.2,10.02
2019-10-17,19.5,23.1,0.0,0.0,48.0,10.0,11.39
2019-10-18,19.8,23.8,0.0,0.0,40.0,8.0,10.05
2019-10-19,19.4,24.4,0.0,0.0,36.0,7.4,13.6
2019-10-20,18.4,23.6,0.0,0.0,13.0,7.3,13.98
2019-10-21,18.4,23.6,0.0,0.0,19.0,13.0,12.35
2019-10-22,18.1,22.1,0.0,0.0,55.0,13.5,8.77
2019-10-23,18.1,23.2,0.0,0.0,34.0,14.7,11.98
2019-10-24,16.9,23.3,0.0,0.0,13.0,10.0,12.86
2019-10-25,16.4,22.7,0.0,0.0,16.0,9.8,12.46
2019-10-26,17.0,21.5,0.0,0.0,48.0,13.8,9.45
2019-10-27,16.9,20.9,0.0,0.0,50.0,12.1,8.69
2019-10-28,15.7,20.8,0.0,0.0,35.0,8.0,11.93
2019-10-29,16.2,20.8,0.0,0.0,56.0,6.5,8.82
2019-10-30,15.7,21.2,0.0,0.0,32.0,8.5,10.52
2019-10-31,14.8,17.6,6.3,0.0,79.0,5.4,5.68
2019-11-01,14.5,15.5,4.6,0.0,83.0,12.7,2.73
2019-11-02,12.4,17.9,0.0,0.0,11.0,9.9,12.51
2019-11-03,13.7,21.8,0.0,0.0,25.0,8.2,12.34
2019-11-04,18.5,24.7,0.0,0.0,75.0,10.7,9.87
2019-11-05,20.7,25.2,0.0,0.0,34.0,15.1,9.58
2019-11-06,19.3,26.9,0.0,0.0,6.0,11.5,11.52
2019-11-07,18.9,26.8,0.0,0.0,49.0,9.3,11.65
2019-11-08,18.2,26.1,0.0,0.0,11.0,8.1,11.58
2019-11-09,17.7,25.5,0.0,0.0,6.0,7.8,10.67
2019-11-10,17.4,25.7,0.0,0.0,17.0,8.8,11.13
2019-11-11,17.1,21.5,0.7,0.0,70.0,8.4,3.87
2019-11-12,16.6,24.4,0.0,0.0,14.0,7.8,10.85
2019-11-13,18.2,25.0,0.0,0.0,73.0,10.7,9.14
2019-11-14,16.5,20.7,1.3,0.0,94.0,6.5,4.18
2019-11-15,15.7,21.1,0.0,0.0,31.0,6.8,10.08
2019-11-16,15.2,21.5,0.0,0.0,7.0,8.6,10.04
2019-11-17,14.7,21.3,0.0,0.0,2.0,8.7,10.22
2019-11-18,14.9,21.5,0.0,0.0,47.0,7.7,8.91
2019-11-19,14.7,21.6,0.0,0.0,25.0,7.7,9.84
2019-11-20,13.1,20.8,0.0,0.0,21.0,8.9,10.27
2019-11-21,14.2,21.1,0.0,0.0,36.0,8.4,9.73
2019-11-22,14.0,18.7,0.2,0.0,98.0,5.9,8.8
2019-11-23,14.2,18.1,0.1,0.0,78.0,5.6,8.19
